"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","313","switchingBunsTabsSuccessfully","","Mon Apr 14 18:55:16 GMT 2025","broken","Mon Apr 14 18:55:16 GMT 2025","","constructor.IngredientSelectionTest","constructor.IngredientSelectionTest","switchingBunsTabsSuccessfully"
"","308","switchingSuccessfullyToConstructor","","Mon Apr 14 18:55:17 GMT 2025","broken","Mon Apr 14 18:55:17 GMT 2025","","switchingPages.SwitchingToConstructorTest","switchingPages.SwitchingToConstructorTest","switchingSuccessfullyToConstructor"
"","360","logoutSuccessfully","","Mon Apr 14 18:55:15 GMT 2025","broken","Mon Apr 14 18:55:15 GMT 2025","","logout.LogoutTest","logout.LogoutTest","logoutSuccessfully"
"","313","switchingSaucesTabsSuccessfully","","Mon Apr 14 18:55:16 GMT 2025","broken","Mon Apr 14 18:55:16 GMT 2025","","constructor.IngredientSelectionTest","constructor.IngredientSelectionTest","switchingSaucesTabsSuccessfully"
"","356","loginSuccessfullyFromPasswordRecoveryPage","","Mon Apr 14 18:55:17 GMT 2025","broken","Mon Apr 14 18:55:18 GMT 2025","","login.LoginTest","login.LoginTest","loginSuccessfullyFromPasswordRecoveryPage"
"","309","switchingSuccessfullyToAccountPageWithoutAuth","","Mon Apr 14 18:55:16 GMT 2025","broken","Mon Apr 14 18:55:16 GMT 2025","","switchingPages.SwitchingToAccountTest","switchingPages.SwitchingToAccountTest","switchingSuccessfullyToAccountPageWithoutAuth"
"","307","loginSuccessfullyFromRegisterPage","","Mon Apr 14 18:55:18 GMT 2025","broken","Mon Apr 14 18:55:18 GMT 2025","","login.LoginTest","login.LoginTest","loginSuccessfullyFromRegisterPage"
"","306","loginSuccessfullyFromAccountButton","","Mon Apr 14 18:55:18 GMT 2025","broken","Mon Apr 14 18:55:18 GMT 2025","","login.LoginTest","login.LoginTest","loginSuccessfullyFromAccountButton"
"","8097","makeFailedRegistrationWithInvalidPassword","","Mon Apr 14 18:55:06 GMT 2025","broken","Mon Apr 14 18:55:14 GMT 2025","","registration.NewRegistrationTest","registration.NewRegistrationTest","makeFailedRegistrationWithInvalidPassword"
"","307","loginSuccessfullyFromHomePage","","Mon Apr 14 18:55:17 GMT 2025","broken","Mon Apr 14 18:55:17 GMT 2025","","login.LoginTest","login.LoginTest","loginSuccessfullyFromHomePage"
"","413","makeSuccessfulRegistration","","Mon Apr 14 18:55:14 GMT 2025","broken","Mon Apr 14 18:55:15 GMT 2025","","registration.NewRegistrationTest","registration.NewRegistrationTest","makeSuccessfulRegistration"
"","310","switchingSuccessfullyToAccountPageWithAuth","","Mon Apr 14 18:55:16 GMT 2025","broken","Mon Apr 14 18:55:17 GMT 2025","","switchingPages.SwitchingToAccountTest","switchingPages.SwitchingToAccountTest","switchingSuccessfullyToAccountPageWithAuth"
"","308","switchingFillingTabsSuccessfully","","Mon Apr 14 18:55:15 GMT 2025","broken","Mon Apr 14 18:55:16 GMT 2025","","constructor.IngredientSelectionTest","constructor.IngredientSelectionTest","switchingFillingTabsSuccessfully"
